Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Abra,32.2,63,psychic,none,98.5,48,53,250442,14,498,Charge Beam,Psyshock,Shadow Ball,4,5,3,50000
Ponyta (Galarian),31.5,77,psychic,none,77.5,62.9,66,322024,11,499,Psycho Cut,Play Rough,Psybeam,7,7,3,50000
Slakoth,31,287,normal,none,63.7,61.9,99,390649,19.5,500,Yawn,Body Slam,Night Slash,4,3,5,75000
Trubbish,27.8,568,poison,none,58.5,80.6,90,424945,20,499,Take Down,Seed Bomb,Gunk Shot,5,9,3,50000
Beldum (Shadow),24.4,374,steel,psychic,59.7,87.2,80,416844,20,499,Take Down,Struggle,Frustration<sup>†</sup>,12,8,5,75000
Beldum,23.7,374,steel,psychic,59.7,87.8,80,419699,20,500,Take Down,Struggle,,12,0,5,75000
Cranidos (Shadow),22.6,408,rock,none,94.6,36.3,76,261345,10,500,Take Down,Ancient Power,Bulldoze,5,7,5,75000
Cranidos,21.1,408,rock,none,94.6,36.3,76,261345,10,500,Take Down,Ancient Power,Bulldoze,5,7,5,75000
Magikarp,11.8,129,water,none,37,84,84,260976,50,310,Splash,Return<sup>†</sup>,Struggle,6,9,1,10000
Magikarp (Shadow),6.7,129,water,none,37,84,84,260976,50,310,Splash,Struggle,Frustration<sup>†</sup>,9,6,1,10000
